Price,Date,Close,High,Low,Open,Volume
762,2023-12-14,56045.75390625,56112.1598158047,55780.134145975,55780.134145975,1468987
763,2023-12-15,54584.84765625,56045.75441197294,54584.84765625,55780.13464930115,3959359
764,2023-12-18,54120.015625,55049.68288258809,54120.015625,54983.28084843462,2996877
765,2023-12-19,53920.80078125,54120.01463595768,53190.34351741537,54120.01463595768,3108703
766,2023-12-20,53854.39453125,53987.20247423755,53455.962946399646,53920.8004417157,3011378
767,2023-12-21,53721.58203125,53787.98794087629,53323.15432937983,53787.98794087629,3211858
768,2023-12-22,53721.58203125,53854.393850502594,53389.560239006125,53721.58203125,2574091
769,2023-12-25,54319.2265625,54319.2265625,53588.77320253809,53721.58114164765,2212600
770,2023-12-26,54983.28125,54983.28125,54452.04170522868,54452.04170522868,1664234
771,2023-12-27,54916.875,55248.900682928055,54784.0631756512,55049.68294640485,1521461
772,2023-12-28,54983.28125,55182.49510980325,54717.66147761434,54916.8753374176,1491262
773,2023-12-29,53323.15625,55713.73418115746,53323.15625,55448.11441102885,2832017
774,2024-01-02,55448.11328125,55514.51919191508,54584.84807643544,55049.68169520333,2837212
775,2024-01-03,56112.16015625,56112.16015625,54983.27907668991,55448.11269050547,2274044
776,2024-01-04,57041.83203125,57241.04588586613,55780.13523681214,56112.16091313493,4088675
777,2024-01-05,57241.046875,57241.046875,56909.02119293975,57041.83301694143,1985958
778,2024-01-08,57639.47265625,57639.47265625,57307.45086327914,57307.45086327914,2470936
779,2024-01-09,58303.5234375,58369.92934663322,57639.47210205541,57639.47210205541,3101377
780,2024-01-10,59432.41015625,59432.41015625,57905.09359028364,58303.5251790404,2751398
781,2024-01-11,59299.59765625,59764.431272866816,58834.76403963319,59432.40947696557,2381684
782,2024-01-12,58901.171875,59432.411419336575,58037.90664596707,58502.74027777558,2921977
783,2024-01-15,59764.4296875,59830.83559609624,59033.97632677257,59100.382235368816,3008239
784,2024-01-16,59764.4296875,59830.83559609624,59033.97632677257,59100.382235368816,2142634
785,2024-01-17,60362.078125,60428.48403691424,59100.38518834901,59100.38518834901,2505919
786,2024-01-18,60494.8828125,60561.28872083748,59764.4294546189,60362.07487376877,2225905
787,2024-01-19,61490.9609375,61756.580697803685,60030.05031685783,60428.48189628526,2394691
788,2024-01-22,61092.53125,62088.604412499495,61092.53125,62088.604412499495,1662888
789,2024-01-23,60760.50390625,61358.149338563926,60030.05053227953,61158.93548710722,2025576
