Date,Close,High,Low,Open,Volume
2023-09-13,16019.3095703125,16225.272121930802,15950.655386439732,16202.387393973211,13075342
2023-09-14,15973.5400390625,16362.580412506715,15973.5400390625,16065.078950461138,15749512
2023-09-15,15973.5400390625,16248.156773258415,15973.5400390625,16065.078950461138,17338742
2023-09-18,15607.384765625,16019.309876741205,15561.61530883431,15950.655691555168,46833300
2023-09-19,15515.845703125,15721.808256706305,15470.0762467736,15698.923528530604,33281440
2023-09-20,15721.80859375,15790.462779748908,15492.961307086973,15515.846035753277,10440028
2023-09-21,15698.923828125,15790.462742574708,15561.615456450438,15721.808556737427,13999664
2023-09-22,15561.6162109375,15676.039859547334,15286.999454273897,15538.731481215533,25389180
2023-09-25,15012.3818359375,15653.154231373856,14989.497107529058,15561.61531774009,10305156
2023-09-26,14829.3037109375,15103.920446325232,14829.3037109375,15012.38153452932,12634598
2023-09-27,14920.8427734375,14920.8427734375,14760.649676176668,14760.649676176668,8001624
2023-09-28,15401.421875,15515.84551448737,14577.571670690935,14920.842589153046,13206762
2023-09-29,15401.421875,15424.306602897474,15149.689868127783,15332.767691307576,6190240
2023-10-02,15172.5751953125,15401.422483326263,15103.921008908372,15401.422483326263,16256404
2023-10-03,14875.07421875,15058.152055288465,14600.457463942308,15058.152055288465,17575800
2023-10-04,14760.650390625,14943.728224927325,14646.226744186046,14760.650390625,6039498
2023-10-05,14554.6865234375,14920.842159247248,14554.6865234375,14806.418523056702,13368200
2023-10-06,14669.111328125,14760.65024436915,14463.148766575663,14531.802953758775,8468002
2023-10-09,14691.99609375,14714.88082286799,14600.457177278038,14691.99609375,8904000
2023-10-10,14875.07421875,14943.728407451925,14760.650570913462,14783.53530048077,8899600
2023-10-11,14920.8427734375,14943.72750161762,14783.534404356787,14943.72750161762,10199400
2023-10-12,14875.07421875,15035.267325721155,14875.07421875,14966.61313701923,7308400
2023-10-13,14737.7646484375,14852.188287012325,14646.22573757764,14829.30355929736,5134200
2023-10-16,14554.6865234375,14783.533795818592,14554.6865234375,14669.110159628046,6473002
2023-10-17,14531.802734375,14737.76529281496,14531.802734375,14623.341649237203,7383800
2023-10-18,14302.955078125,14554.6870875,14188.5314375,14531.802359375,10734800
2023-10-19,14028.3388671875,14371.60980194739,14028.3388671875,14302.955614995411,9288200
2023-10-20,14234.30078125,14371.609148914791,13982.56877386455,14051.222957696946,8483200
2023-10-23,14142.76171875,14417.378451152912,13959.683897148056,14234.300629550971,15524800
2023-10-24,14348.724609375,14554.687163576556,14211.416239907296,14348.724609375,11528800
2023-10-25,14280.0712890625,14463.149126101762,14280.0712890625,14280.0712890625,4845600
2023-10-26,13639.2978515625,14165.646594156357,13364.681116296142,14096.992410339766,16604000
2023-10-27,13524.875,13913.915397631134,13318.912436548222,13730.837563451776,15112064
2023-10-30,12861.2177734375,13387.5665435248,12861.2177734375,13364.68181439057,26084800
2023-10-31,12678.1396484375,13044.295306154108,12449.292362364622,12906.98693451038,14292800
2023-11-01,12906.9873046875,13021.410951005651,12563.716365733046,12952.75676321476,9520600
2023-11-02,13433.3359375,13547.75958262351,13044.295544080069,13181.60391822828,9511800
2023-11-03,14188.5322265625,14188.5322265625,13524.875074029738,13707.95290921119,16245402
2023-11-06,14188.5322265625,14188.5322265625,13868.14601499496,14096.993308971774,7102802
2023-11-07,14005.4541015625,14165.647204031353,13936.799914790136,14005.4541015625,15020400
2023-11-08,14554.6865234375,14600.455977913718,13822.375251818004,14005.453069722877,8360800
